Instruction,Input,Output,Code Style,Score
Create a function in Python which takes a list of numbers and returns the sum of squares of those numbers.,"[3, 4, 5]","def sum_squares(nums):
    result = 0
    for num in nums:
        result += num * num
    return result

if __name__ == ""__main__"":
    nums_list = [3, 4, 5]
    result_sum_squares = sum_squares(nums_list)
    print(result_sum_squares)",8.89,4.44
Design a function in Python that sorts a list of strings in alphabetical order.,"['red', 'green', 'orange']","def sort_list_alphabetically(input_list):
    sorted_list = sorted(input_list)
    return sorted_list

input_list = ['red', 'green', 'orange']
sorted_list = sort_list_alphabetically(input_list)
print(""Sorted List in Alphabetical Order:"", sorted_list)",10,5
create a Python program for shuffeling the elements of an array.,,"def example_function():
    for i in range(10):
        print(i)

example_function()",7.5,3.75
print an array containing the seven days of the week.,"days = [""Monday"", ""Thuesday"", ""Wednesday"", ""Thrusday"", ""Friday""]

for day in days:
    print(day)","days = [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""]

for day in days:
    print(day)",10,5
Create a calculator program using Python.,,"def calculator(num1, num2, op):
 if op == '+':
 return num1 + num2
 elif op == '-':
 return num1 - num2
 elif op == '*':
 return num1 * num2
 elif op == '/':
 return num1 / num2
 else:
 return None",8.89,4.44
Develop a Python script that takes two parameters and prints the greatest out of them.,,"def find_greatest(param1, param2):
    if param1 > param2:
        greater = param1
    else:
        greater = param2
    return greater
",10,5
Create a Python program that prints the Roman numerals representation for any given number.,,"def Roman(number):
 roman = {1000: 'M', 900: 'CM', 500: 'D', 400: 'CD',
100: 'C', 90: 'XC', 50: 'L', 40: 'XL',
 10: 'X', 9: 'IX', 5: 'V', 4: 'IV', 1: 'I'}
 result = ''

 for num in roman.keys():
 while number >= num:
 result += roman[num]
 number -= num

 print (result) 

number = int(input('Enter a number: '))
Roman(number)",7,3.5
Create a Python program to check if an integer is divisible by 5,Integer : 10,"def is_divisible_by_5(number):
    return number % 5 == 0

number = 10
print(is_divisible_by_5(number))
",7.5,3.75
"Write a python program to which given a list of numbers, will calculate the mean value",,"def mean(nums):
    total = 0
    for num in nums:
        total += num
    return total / len(nums)
",10,5
Write a function to calculate the total number of days between two dates in Python.,,"from datetime import datetime

def calculate_days_between(start_date, end_date):
  start_date = datetime.strptime(start_date, '%Y-%m-%d')
  end_date = datetime.strptime(end_date, '%Y-%m-%d')
  delta = end_date - start_date
  return delta.days",10,5
Write a Python program to generate a Fibonacci sequence where the number of elements is given as an input.,Number of elements = 10,"def generate_fibonacci(num_of_elements):
    sequence = []
    a = 0
    b = 1
    for i in range(num_of_elements):
        sequence.append(a)
        c = a + b
        a = b
        b = c
    return sequence

print(generate_fibonacci(10))
",9.09,4.54
Write a Python program to generate a sorted list of unique numbers from 0 to 9 in random order.,,"import random
random_numbers = random.sample(range(0, 10), 10)
 
random_numbers.sort()

print(random_numbers)
",10,5
Create a Python function to replace all the vowels in a string with 'x'.,,"def replace_vowels(s):
    vowels = 'aeiou'
    for char in vowels:
        s = s.replace(char, 'x')
    return s

print(replace_vowels(""hello world""))
",10,5
Generate Python code to implement a binary search algorithm.,,"def binary_search(arr, target):
    left = 0
    right = len(arr) - 1
    
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] > target:
            right = mid - 1
        elif arr[mid] < target:
            left = mid + 1
        else:
            return mid
    return -1

print(binary_search([1, 2, 3, 4, 5], 3))
",9.17,4.5
Write a Python function to create a stack data structure,,"class Stack():
    def __init__(self):
        self.items = []

    def push(self, item):
        self.items.append(item)
   
    def pop(self):
        if len(self.items) == 0: 
            return None
        else: 
            return self.items.pop()
    
    def peek(self):
        if len(self.items) == 0:
            return None
        else:
            return self.items[-1]
",7.69,3.8
Please generate a Python script that calculates the mean of a given array of numbers.,"[4, 9, 3, 5]","def calculateMean(array):
    mean = 0
    for i in range(len(array)):
        mean += array[i]
    mean /= len(array)
    return mean

array = [4, 9, 3, 5]
mean = calculateMean(array)
print(mean)
",10,5
Design a Python function to calculate the area of a circle given its radius.,,"import math

def area_of_circle(radius):
    return math.pi * (radius ** 2)

radius = 5.0
print(f""Area of circle with radius {radius} is: {area_of_circle(radius)}"")
",9,4.5
Write a Python function which takes in an argument and returns a corresponding string.,"Given an argument of 1,2 or 3","def get_string(arg):
    if arg == 1:
        return ""One""
    elif arg == 2:
        return ""Two""
    elif arg == 3:
        return ""Three""
    else:
        return None

print(get_string(2)) 
",8.89,4.44
Can you form a mathematical expression in Python to calculate the total area of a circle and a square?,,"import math

radius = 4
side = 5

circle_area = math.pi * radius**2
square_area = side**2

total_area = circle_area + square_area
print(""Total area of the circle and square:"", total_area)
",10,5
Generate a code snippet to print a pattern of stars in Python.,rows = 5,"rows = 5

for i in range(0, rows):
    for j in range(0, i + 1):
        print(""* "", end="""")
    print()
",10,5
Develop an algorithm in Python to find the depth of a binary tree.,,"def findDepth(root): 
    if root is None: 
        return 0 
  
    else :  
        left_height = findDepth(root.left) 
        right_height = findDepth(root.right) 
  
        if left_height > right_height: 
            return left_height+1
        else: 
            return right_height+1
",7.5,3.75
Write a python function to count the number of rotations required to generate a sorted array.,,"def count_Rotation(arr,n):   
    for i in range (1,n): 
        if (arr[i] < arr[i - 1]): 
            return i  
    return 0
",8.89,4.44
Can you create a program that reads two numbers from the user and outputs the two numbers in descending order?,,"def main():
    num1 = int(input(""Enter the first number: ""))
    num2 = int(input(""Enter the second number: ""))
    
    maximum = max(num1, num2)
    minimum = min(num1, num2)
    
    print(f""Maximum number: {maximum}"")
    print(f""Minimum number: {minimum}"")

if __name__ == ""__main__"":
    main()
",10,5
Create an algorithm in Python to find the first index of an item in an array.,"arr = [1,3,7,9,0,4]
num = 7","def find_index(arr, num):
    for index in range(len(arr)):
        if arr[index] == num:
            return index
    return -1

arr = [1, 3, 7, 9, 0, 4]
num = 7
index = find_index(arr, num)
print(f'Index of {num} is {index}')
",6.67,3.33
Create a Python program to generate a Fibonacci sequence using recursion.,,"def Fibonacci_Sequence(n): 
    if n<0: 
        print(""Incorrect input"") 
    elif n==1: 
        return 0
    elif n==2: 
        return 1
    else: 
        return Fibonacci_Sequence(n-1)+Fibonacci_Sequence(n-2) 
  
print(Fibonacci_Sequence(10))
",8.89,4.44
Generate a function in Python to convert a given integer to its binary representation.,17,"def convertToBinary(n): 
    if n > 1: 
        convertToBinary(n//2) 
  
    print(n % 2,end = '') 

num = 17
convertToBinary(num)
",10,5
Generate a correct Python program to take two lists as input and combine them into a 3rd list.,"list1 = [1, 2, 3]
list2 = [4, 5, 6]","def combine_lists(list1, list2):
    output = list1 + list2
    return output

list1 = [1, 2, 3]
list2 = [4, 5, 6]

combined_list = combine_lists(list1, list2)
print(combined_list)
",7.14,3.57
Write a Python program to remove an item from a list whose index is specified.,"list = ['Apple', 'Orange', 'Banana', 'Mango']","def remove_specified_index(lst, index):
    new_list = [lst[i] for i in range(len(lst)) if i != index]

    return new_list

lst = ['Apple', 'Orange', 'Banana', 'Mango']
index = 2

print(remove_specified_index(lst, index))
",8.89,4.44
Build a Python script to remove all punctuation from a given string.,"""This is a cool string!""","import string

input_str = ""This is a cool string!""
punctuation_removed = input_str.translate(str.maketrans('', '', string.punctuation))
print(punctuation_removed)
",10,5
